years,text_general_code,lat,lon
1,Thefts,40.022262,-75.078245
1,Theft from Vehicle,39.995272,-75.239077
1,Thefts,40.028961,-75.058383
1,Thefts,39.944061,-75.175561
1,Thefts,40.044531,-75.144653
1,All Other Offenses,39.965761,-75.246149
1,Fraud,40.02142,-75.049175
1,Thefts,40.010947,-75.166645
1,Thefts,40.004045,-75.126049
1,All Other Offenses,39.931562,-75.186813
1,Thefts,39.958701,-75.227281
1,Other Assaults,39.970119,-75.228566
1,Other Assaults,39.987836,-75.124361
1,Fraud,40.074305,-75.241324
1,Fraud,39.951887,-75.159942
1,Fraud,39.947544,-75.159463
1,Thefts,40.044829,-75.231031
1,Thefts,39.950511,-75.164149
1,All Other Offenses,40.077021,-75.071619
1,Robbery Firearm,40.006447,-75.142118
1,Thefts,40.054166,-75.054475
1,Other Assaults,40.009706,-75.092643
1,Thefts,39.916447,-75.158047
1,Thefts,39.951586,-75.156776
1,Robbery Firearm,39.924864,-75.226475
1,Thefts,39.978062,-75.273929
1,Other Assaults,40.000669,-75.11466
1,Thefts,39.947278,-75.166719
1,Other Assaults,39.97042,-75.245206
1,Fraud,39.91548,-75.167687
1,Fraud,40.006613,-75.213599
1,Other Assaults,39.985269,-75.111221
1,Fraud,39.919521,-75.15943
1,Fraud,39.923096,-75.169838
1,Fraud,39.919146,-75.148951
1,Motor Vehicle Theft,39.96292,-75.137237
1,Thefts,40.086521,-74.959433
1,Motor Vehicle Theft,39.988028,-75.103159
1,Motor Vehicle Theft,39.92412,-75.190845
1,Motor Vehicle Theft,39.972053,-75.130196
1,Fraud,40.029732,-75.232872
1,Thefts,39.925047,-75.16943
1,Thefts,39.918538,-75.185227
1,Vagrancy/Loitering,39.953578,-75.156861
1,Other Assaults,40.063835,-75.008263
1,Thefts,40.064266,-75.05044
1,Thefts,39.936143,-75.147201
1,Thefts,39.938354,-75.153235
1,Thefts,39.947999,-75.205656
1,Thefts,39.932434,-75.224657
1,Fraud,40.042396,-75.197208
1,Fraud,39.953618,-75.165066
1,Fraud,39.963825,-75.230468
1,Fraud,40.038076,-75.049474
1,Fraud,40.023183,-75.124207
1,Thefts,40.024675,-75.16645
1,Fraud,39.948958,-75.154466
1,Thefts,39.942767,-75.157933
1,Thefts,40.063034,-75.086551
1,Rape,40.021341,-75.070286
1,Thefts,39.972033,-75.125309
1,Thefts,39.952073,-75.161485
1,Thefts,39.980505,-75.251077
1,Thefts,39.91651,-75.245828
1,Thefts,39.99725,-75.108173
1,Thefts,40.009609,-75.151117
1,Thefts,40.02386,-75.065223
1,Fraud,39.91441,-75.236068
1,Fraud,40.02444,-75.212018
1,Fraud,40.028355,-75.206453
1,Fraud,40.036409,-75.130559
1,Fraud,40.052989,-75.238902
1,Rape,39.99872,-75.147119
1,Thefts,39.955615,-75.202333
1,Fraud,39.963,-75.236371
